0 0 0 0
0 1 0 0
0 2 0 0
0 3 0 0
0 4 0 0
0 5 0 0
0 6 0 0
0 7 0 0
0 8 0 0
0 9 0 0
0 10 0 0
0 11 0 0
0 12 0 0
0 13 0 0
0 14 0 0
0 15 0 0
0 16 0 0
0 17 0 0
0 18 0 0
0 19 0 0
0 20 0 0
0 21 0 0
0 22 0 0
0 23 0 0
0 24 0 0
0 25 0 0
0 26 0 0
0 27 0 0
0 28 0 0
0 29 0 0
0 30 0 0
0 31 0 0
0 32 0 0
0 33 0 0
0 34 0 0
0 35 0 0
0 36 0 0
0 37 0 0
0 38 0 0
0 39 0 0
0 40 0 0
0 41 0 0
0 42 0 0
0 43 0 0
0 44 0 0
0 45 0 0
0 46 0 0
0 47 0 0
0 48 0 0
0 49 0 0
1 0 0 0
1 1 -0.137122 -0.136556
1 2 -0.201837 -0.151903
1 3 -0.17456 -0.19725
1 4 -0.173797 -0.141061
1 5 -0.183296 -0.125138
1 6 -0.182316 -0.137131
1 7 -0.18053 -0.11069
1 8 -0.182454 -0.10677
1 9 -0.181264 -0.101929
1 10 -0.18124 -0.0933094
1 11 -0.181413 -0.0868991
1 12 -0.181114 -0.0824619
1 13 -0.180998 -0.0761291
1 14 -0.180883 -0.0707283
1 15 -0.18053 -0.065193
1 16 -0.180234 -0.0591673
1 17 -0.179953 -0.0528783
1 18 -0.179653 -0.0464209
1 19 -0.179406 -0.0396077
1 20 -0.17921 -0.0326355
1 21 -0.179045 -0.0255262
1 22 -0.178924 -0.0183006
1 23 -0.178847 -0.0110025
1 24 -0.178807 -0.0036735
1 25 -0.178807 0.0036735
1 26 -0.178847 0.0110025
1 27 -0.178924 0.0183006
1 28 -0.179045 0.0255262
1 29 -0.17921 0.0326355
1 30 -0.179406 0.0396077
1 31 -0.179653 0.0464209
1 32 -0.179953 0.0528783
1 33 -0.180234 0.0591673
1 34 -0.18053 0.065193
1 35 -0.180883 0.0707283
1 36 -0.180998 0.0761291
1 37 -0.181114 0.0824619
1 38 -0.181413 0.0868991
1 39 -0.18124 0.0933094
1 40 -0.181264 0.101929
1 41 -0.182454 0.10677
1 42 -0.18053 0.11069
1 43 -0.182316 0.137131
1 44 -0.183296 0.125138
1 45 -0.173797 0.141061
1 46 -0.17456 0.19725
1 47 -0.201837 0.151903
1 48 -0.137122 0.136556
1 49 0 0
2 0 0 0
2 1 -0.156124 -0.201987
2 2 -0.251282 -0.248057
2 3 -0.150931 -0.173988
2 4 -0.221149 -0.157942
2 5 -0.152787 -0.162553
2 6 -0.187722 -0.140135
2 7 -0.17528 -0.136994
2 8 -0.176793 -0.128697
2 9 -0.17466 -0.118991
2 10 -0.178568 -0.111582
2 11 -0.174748 -0.10492
2 12 -0.176497 -0.0971352
2 13 -0.175618 -0.0907608
2 14 -0.17546 -0.0842377
2 15 -0.174999 -0.0773989
2 16 -0.174975 -0.0703802
2 17 -0.174514 -0.0630628
2 18 -0.174399 -0.0552895
2 19 -0.17418 -0.047256
2 20 -0.174029 -0.0389716
2 21 -0.17389 -0.0304835
2 22 -0.173812 -0.0218607
2 23 -0.173737 -0.0131539
2 24 -0.173709 -0.00439015
2 25 -0.173709 0.00439015
2 26 -0.173737 0.0131539
2 27 -0.173812 0.0218607
2 28 -0.17389 0.0304835
2 29 -0.174029 0.0389716
2 30 -0.17418 0.047256
2 31 -0.174399 0.0552895
2 32 -0.174514 0.0630628
2 33 -0.174975 0.0703802
2 34 -0.174999 0.0773989
2 35 -0.17546 0.0842377
2 36 -0.175618 0.0907608
2 37 -0.176497 0.0971352
2 38 -0.174748 0.10492
2 39 -0.178568 0.111582
2 40 -0.17466 0.118991
2 41 -0.176793 0.128697
2 42 -0.17528 0.136994
2 43 -0.187722 0.140135
2 44 -0.152787 0.162553
2 45 -0.221149 0.157942
2 46 -0.150931 0.173988
2 47 -0.251282 0.248057
2 48 -0.156124 0.201987
2 49 0 0
3 0 0 0
3 1 -0.203768 -0.174526
3 2 -0.180959 -0.147965
3 3 -0.136886 -0.130012
3 4 -0.183083 -0.156525
3 5 -0.156931 -0.155207
3 6 -0.179585 -0.131417
3 7 -0.167241 -0.127745
3 8 -0.171623 -0.121227
3 9 -0.1703 -0.109418
3 10 -0.171025 -0.103345
3 11 -0.169407 -0.097129
3 12 -0.170726 -0.0899905
3 13 -0.169642 -0.0839529
3 14 -0.169682 -0.077898
3 15 -0.169338 -0.0714121
3 16 -0.16912 -0.064852
3 17 -0.168722 -0.0580017
3 18 -0.168573 -0.0508019
3 19 -0.168309 -0.043379
3 20 -0.168144 -0.0357482
3 21 -0.167999 -0.027947
3 22 -0.167902 -0.0200376
3 23 -0.167825 -0.0120527
3 24 -0.167796 -0.00402182
3 25 -0.167796 0.00402182
3 26 -0.167825 0.0120527
3 27 -0.167902 0.0200376
3 28 -0.167999 0.027947
3 29 -0.168144 0.0357482
3 30 -0.168309 0.043379
3 31 -0.168573 0.0508019
3 32 -0.168722 0.0580017
3 33 -0.16912 0.064852
3 34 -0.169338 0.0714121
3 35 -0.169682 0.077898
3 36 -0.169642 0.0839529
3 37 -0.170726 0.0899905
3 38 -0.169407 0.097129
3 39 -0.171025 0.103345
3 40 -0.1703 0.109418
3 41 -0.171623 0.121227
3 42 -0.167241 0.127745
3 43 -0.179585 0.131417
3 44 -0.156931 0.155207
3 45 -0.183083 0.156525
3 46 -0.136886 0.130012
3 47 -0.180959 0.147965
3 48 -0.203768 0.174526
3 49 0 0
4 0 0 0
4 1 -0.149304 -0.174357
4 2 -0.168558 -0.217197
4 3 -0.167428 -0.176732
4 4 -0.182337 -0.172196
4 5 -0.157533 -0.142656
4 6 -0.178934 -0.135003
4 7 -0.157998 -0.133193
4 8 -0.168382 -0.12054
4 9 -0.165076 -0.113675
4 10 -0.164829 -0.107679
4 11 -0.164328 -0.0995046
4 12 -0.165336 -0.0928945
4 13 -0.163834 -0.086825
4 14 -0.164195 -0.0801738
4 15 -0.163718 -0.07371
4 16 -0.163462 -0.0670914
4 17 -0.163164 -0.0600113
4 18 -0.163039 -0.0526415
4 19 -0.162783 -0.0450132
4 20 -0.162668 -0.0371115
4 21 -0.162541 -0.0290311
4 22 -0.162454 -0.0208265
4 23 -0.162389 -0.0125287
4 24 -0.162365 -0.00418058
4 25 -0.162365 0.00418058
4 26 -0.162389 0.0125287
4 27 -0.162454 0.0208265
4 28 -0.162541 0.0290311
4 29 -0.162668 0.0371115
4 30 -0.162783 0.0450132
4 31 -0.163039 0.0526415
4 32 -0.163164 0.0600113
4 33 -0.163462 0.0670914
4 34 -0.163718 0.07371
4 35 -0.164195 0.0801738
4 36 -0.163834 0.086825
4 37 -0.165336 0.0928945
4 38 -0.164328 0.0995046
4 39 -0.164829 0.107679
4 40 -0.165076 0.113675
4 41 -0.168382 0.12054
4 42 -0.157998 0.133193
4 43 -0.178934 0.135003
4 44 -0.157533 0.142656
4 45 -0.182337 0.172196
4 46 -0.167428 0.176732
4 47 -0.168558 0.217197
4 48 -0.149304 0.174357
4 49 0 0
5 0 0 0
5 1 -0.138356 -0.184035
5 2 -0.176353 -0.149278
5 3 -0.168519 -0.150644
5 4 -0.156086 -0.14755
5 5 -0.147184 -0.133658
5 6 -0.165226 -0.14028
5 7 -0.152821 -0.132004
5 8 -0.163889 -0.118507
5 9 -0.157578 -0.113544
5 10 -0.15967 -0.106064
5 11 -0.159236 -0.0976553
5 12 -0.159189 -0.0915858
5 13 -0.158281 -0.0852572
5 14 -0.158755 -0.078625
5 15 -0.15802 -0.0723045
5 16 -0.157887 -0.0656754
5 17 -0.157623 -0.0586719
5 18 -0.15743 -0.0514462
